Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Word_Count,Opportunity_Score
apollo hospital sarita vihar,INR,9900,0%,-18%,Low,7.0,4.14,56.04,,,,,,9900,9900,12100,9900,9900,9900,9900,9900,9900,8100,8100,8100,4,1237.5
apollo sarita vihar,INR,9900,0%,-18%,Low,7.0,4.14,56.04,,,,,,9900,9900,12100,9900,9900,9900,9900,9900,9900,8100,8100,8100,3,1237.5
apollo sarita vihar delhi,INR,9900,0%,-18%,Low,7.0,4.14,56.04,,,,,,9900,9900,12100,9900,9900,9900,9900,9900,9900,8100,8100,8100,4,1237.5
apollo hospital sarita vihar new delhi,INR,9900,0%,-18%,Low,7.0,4.14,56.04,,,,,,9900,9900,12100,9900,9900,9900,9900,9900,9900,8100,8100,8100,6,1237.5
apollo hospital bannerghatta road,INR,9900,0%,0%,Low,22.0,119.95,832.25,,,,,,12100,9900,8100,8100,9900,12100,9900,6600,8100,9900,12100,9900,4,430.4347826086956
good hospitals in india,INR,4400,0%,-19%,Low,2.0,20.86,72.35,,,,,,5400,4400,4400,4400,4400,5400,5400,5400,4400,4400,4400,4400,4,1466.6666666666667
top indian hospitals,INR,4400,0%,-19%,Low,2.0,20.86,72.35,,,,,,5400,4400,4400,4400,4400,5400,5400,5400,4400,4400,4400,4400,3,1466.6666666666667
leading cardiologist in india,INR,4400,-18%,-18%,Low,6.0,15.19,49.43,,,,,,5400,4400,5400,4400,4400,5400,5400,5400,4400,4400,4400,3600,4,628.5714285714286
apollo hospital chennai doctors list,INR,4400,-34%,-19%,Low,9.0,10.97,27.41,,,,,,3600,3600,5400,4400,4400,4400,5400,5400,4400,4400,3600,2900,5,440.0
chennai apollo doctor list,INR,4400,-34%,-19%,Low,9.0,10.97,27.41,,,,,,3600,3600,5400,4400,4400,4400,5400,5400,4400,4400,3600,2900,4,440.0
big hospitals in india,INR,3600,-19%,-19%,Low,0.0,41.25,205.18,,,,,,3600,2900,3600,2900,3600,5400,4400,4400,3600,3600,3600,2900,4,3600.0
dhiru ambani hospital,INR,3600,24%,0%,Low,3.0,14.24,49.08,,,,,,4400,3600,3600,3600,3600,4400,4400,3600,3600,2900,3600,3600,3,900.0
dr goenka kolkata,INR,3600,-33%,-17%,Low,3.0,0.56,29.57,,,,,,3600,3600,6600,2900,3600,3600,4400,4400,3600,3600,2900,2400,3,900.0
india's big hospital,INR,2900,-17%,0%,Low,0.0,33.4,255.25,,,,,,2400,2400,2400,2400,2900,3600,2900,4400,3600,2900,2900,2400,3,2900.0
apollo indraprastha delhi,INR,2900,-17%,-17%,Low,4.0,6.94,65.99,,,,,,2900,2900,3600,2900,2900,3600,3600,3600,2900,2900,2900,2400,3,580.0
medanta hospital gurgaon doctors list,INR,2900,-21%,-34%,Low,6.0,0.53,21.35,,,,,,2900,2400,2900,2900,3600,2900,3600,3600,2900,2400,2400,1900,5,414.2857142857143
medanta hospital doctor list,INR,2900,-21%,-34%,Low,6.0,0.53,21.35,,,,,,2900,2400,2900,2900,3600,2900,3600,3600,2900,2400,2400,1900,4,414.2857142857143
medanta doctor list,INR,2900,-21%,-34%,Low,6.0,0.53,21.35,,,,,,2900,2400,2900,2900,3600,2900,3600,3600,2900,2400,2400,1900,3,414.2857142857143
medanta hospital doctors list,INR,2900,-21%,-34%,Low,6.0,0.53,21.35,,,,,,2900,2400,2900,2900,3600,2900,3600,3600,2900,2400,2400,1900,4,414.2857142857143
medanta gurgaon doctors list,INR,2900,-21%,-34%,Low,6.0,0.53,21.35,,,,,,2900,2400,2900,2900,3600,2900,3600,3600,2900,2400,2400,1900,4,414.2857142857143
dr ashok seth,INR,2900,21%,53%,Low,13.0,13.3,30.95,,,,,,2400,2400,2900,3600,2900,2900,3600,3600,2900,2400,2400,2900,3,207.14285714285714
heart special doctor,INR,2900,0%,0%,Low,25.0,17.92,85.89,,,,,,3600,3600,3600,2900,2900,2900,3600,3600,3600,2900,2900,2900,3,111.53846153846153
contact number of max hospital saket,INR,2400,-21%,-21%,Low,2.0,3.9,139.25,,,,,,2400,2400,2900,2900,2400,2400,2900,2900,2400,2400,1900,1900,6,800.0
max hospital saket delhi contact number,INR,2400,-21%,-21%,Low,2.0,3.9,139.25,,,,,,2400,2400,2900,2900,2400,2400,2900,2900,2400,2400,1900,1900,6,800.0
max hospital saket phone number,INR,2400,-21%,-21%,Low,2.0,3.9,139.25,,,,,,2400,2400,2900,2900,2400,2400,2900,2900,2400,2400,1900,1900,5,800.0
delhi apollo hospital,INR,2400,-21%,-21%,Low,7.0,7.29,58.90,,,,,,2400,1900,1900,1900,2400,2400,2400,2900,2400,2400,2400,1900,3,300.0
fortis memorial research institute gurgaon,INR,2400,0%,0%,Low,13.0,1.28,58.75,,,,,,3600,2400,2400,2900,2400,2400,2900,2900,2400,2400,2900,2400,5,171.42857142857142
